restaurant_name,restaurant_ID,restaurant_address,restaurant_tag,rating,price,review_number,unique_reviewer,reviews_Jan_19,reviews_Feb_19,reviews_Mar_19,reviews_Apr_19,reviews_May_19,reviews_Jun_19,reviews_Jul_19,reviews_Aug_19,reviews_Jan_20,reviews_Feb_20,reviews_Mar_20,reviews_Apr_20,reviews_May_20,reviews_Jun_20,reviews_Jul_20,reviews_Aug_20,restaurant_neighborhood,GIS_ID,CT_ID_10,NUM_REST,RATE_REVIEWS,RATE_REVIEWERS,AVG_RATING,PCT_DLRS_1,PCT_DLRS_2,PCT_DLRS_3,PCT_DLRS_4,PCT_DLRS_NA,reviews_Jan_19,reviews_Feb_19,reviews_Mar_19,reviews_Apr_19,reviews_May_19,reviews_Jun_19,reviews_Jul_19,reviews_Aug_19,reviews_Jan_20,reviews_Feb_20,reviews_Mar_20,reviews_Apr_20,reviews_May_20,reviews_Jun_20,reviews_Jul_20,reviews_Aug_20,closed
Pavement Coffeehouse,2361,"415 Western Ave,Brighton, MA 02135,","Coffee & Tea,Breakfast & Brunch,",4,$ ,42,42,0,0,1,1,1,0,6,3,0,1,0,0,0,0,0,0,Brighton,2200567000,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Rail Stop Restaurant & Bar,2536,"96 Guest St,Boston, MA 02135,","Bars,American (New),Seafood,",4,$$ ,122,122,2,5,4,1,2,5,2,9,4,5,0,0,0,1,1,3,Brighton,2201905030,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Spring Shabu-Shabu,2903,"304 Western Ave,Boston, MA 02135,","Hot Pot,Japanese,",4.5,$$ ,741,741,13,27,21,18,18,14,13,18,14,14,9,2,2,0,3,4,Brighton,2200863030,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Stockyard Restaurant,2939,"135 Market St,Brighton, MA 02135,","Bars,Seafood,Steakhouses,",4,$$$ ,332,330,2,4,4,4,6,5,4,2,9,2,1,2,1,2,3,4,Brighton,2202728000,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Subway,2977,"260 Western Ave,Allston, MA 02134,","Sandwiches,",2.5,$ ,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allston,2201006000,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
The Breakfast Club,3177,"270 Western Ave,Allston, MA 02134,","Diners,Breakfast & Brunch,Sandwiches,",4,$$ ,694,691,7,7,7,13,3,7,6,9,5,3,0,0,2,4,2,1,Allston,2201005000,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Our Fathers,2276,"197 N Harvard St,Allston, MA 02134,","Delis,Bars,Sandwiches,",3.5,$$ ,130,130,2,4,2,4,1,5,4,3,2,4,1,0,0,0,0,0,Allston,2200534010,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Boston Crust,434,"38 Brooks St,Boston, MA 02135,","Italian,Pizza,Breakfast & Brunch,",3.5,NA,20,20,2,0,1,1,0,1,0,1,0,0,1,0,0,2,1,1,Brighton,2202941000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Chinese Food Restaurant,767,"525 Washington St,Brighton, MA 02135,","Chinese,",1,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2203996000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Greek Village Gyros & Grill,1374,"583 Washington St,Boston, MA 02135,","Greek,",4.5,$ ,44,44,3,0,1,0,1,2,2,1,2,0,0,0,0,0,0,0,Brighton,2203828000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Hoshi Ya Sushi,1490,"529 Washington St,Brighton, MA 02135,","Japanese,Sushi Bars,Seafood,",4,$$ ,145,145,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,Brighton,2203996000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Miyuki Sushi,2047,"547 Washington St,Brighton, MA 02135,","Japanese,Sushi Bars,Juice Bars & Smoothies,",4,$$ ,82,82,1,2,0,2,1,2,1,0,1,1,0,1,3,2,0,2,Brighton,2203908000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Papa John's Pizza,2335,"533 Washington St,Brighton, MA 02135,","Pizza,",2.5,$ ,80,80,1,3,1,0,1,1,2,0,0,0,0,0,1,0,1,0,Brighton,2203996000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Pizza Twenty One,2444,"547 Washington St,Brighton, MA 02135,","Pizza,",3.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2203908000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Ronan's Deli,2640,"243 Faneuil St,Brighton, MA 02135,","Delis,Irish,Brazilian,",4.5,$ ,35,35,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,Brighton,2203113000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Teresa's Market,3132,"571 Washington St,Boston, MA 02135,","Mexican,Latin American,",4.5,$ ,82,82,2,0,1,0,0,1,2,2,0,1,0,1,0,2,1,2,Brighton,2203827000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Twelve Hours,3399,"559 Washington St,Brighton, MA 02135,","Asian Fusion,Thai,Ramen,",4.5,$$ ,370,369,4,8,6,5,6,3,4,2,4,4,4,2,5,3,7,3,Brighton,2203864000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Wingz Xpress,3542,"563 Washington St,Brighton, MA 02135,","Chicken Wings,Burgers,Southern,",3,$$ ,116,116,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Brighton,2203864000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Wok n Talk,3554,"525 Washington St,Brighton, MA 02135,","Asian Fusion,",3.5,$$ ,53,53,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0,Brighton,2203996000,25025000201,12,85.75,85.66666667,3.987366375,0.333333333,0.416666667,0,0,0.25,14,14,12,12,11,12,14,7,8,6,6,4,9,9,10,9,FALSE
Athan's Bakery,176,"407 Washington St,Brighton, MA 02135,","Bakeries,Desserts,Cafes,",3.5,$ ,221,221,0,2,0,1,2,0,1,1,0,0,1,0,0,0,2,0,Brighton,2202439000,25025000202,8,173.625,173.375,3.85025198,0.875,0.125,0,0,0,9,8,11,7,7,5,11,13,7,6,3,5,5,3,8,9,FALSE
Bangkok Bistro,255,"433 Washington St,Brighton, MA 02135,","Thai,",4,$$ ,127,127,2,0,2,2,2,0,3,0,1,0,2,0,0,0,1,2,Brighton,2204420000,25025000202,8,173.625,173.375,3.85025198,0.875,0.125,0,0,0,9,8,11,7,7,5,11,13,7,6,3,5,5,3,8,9,FALSE
China Maxim III,758,"241 Market St,Brighton, MA 02135,","Chinese,",3,$ ,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2202567000,25025000202,8,173.625,173.375,3.85025198,0.875,0.125,0,0,0,9,8,11,7,7,5,11,13,7,6,3,5,5,3,8,9,FALSE
Happy Garden Chinese,1419,"377 Washington St,Brighton, MA 02135,","Chinese,",2,$ ,142,141,1,0,1,1,1,0,0,1,0,2,0,0,0,0,1,2,Brighton,2202406000,25025000202,8,173.625,173.375,3.85025198,0.875,0.125,0,0,0,9,8,11,7,7,5,11,13,7,6,3,5,5,3,8,9,FALSE
Jim's Deli & Restaurant,1584,"371 Washington St,Brighton, MA 02135,","Delis,Diners,Breakfast & Brunch,",4.5,$ ,590,590,5,4,6,3,1,1,7,9,4,3,0,3,2,3,3,4,Brighton,2202405010,25025000202,8,173.625,173.375,3.85025198,0.875,0.125,0,0,0,9,8,11,7,7,5,11,13,7,6,3,5,5,3,8,9,FALSE
Kiki's Kwik-Mart,1654,"236 Faneuil St,Brighton, MA 02135,","Grocery,Sandwiches,",4.5,$ ,75,75,1,2,1,0,0,1,0,1,2,0,0,0,0,0,0,1,Brighton,2204372000,25025000202,8,173.625,173.375,3.85025198,0.875,0.125,0,0,0,9,8,11,7,7,5,11,13,7,6,3,5,5,3,8,9,FALSE
Little Pizza King,1805,"389 Washington St,Brighton, MA 02135,","Pizza,Wraps,Italian,",3.5,$ ,182,181,0,0,1,0,0,3,0,1,0,1,0,2,3,0,1,0,Brighton,2202406000,25025000202,8,173.625,173.375,3.85025198,0.875,0.125,0,0,0,9,8,11,7,7,5,11,13,7,6,3,5,5,3,8,9,FALSE
Subway,2961,"419 Washington St,Brighton, MA 02135,","Sandwiches,",2,$ ,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Brighton,2202439000,25025000202,8,173.625,173.375,3.85025198,0.875,0.125,0,0,0,9,8,11,7,7,5,11,13,7,6,3,5,5,3,8,9,FALSE
Boston Common Lemonade Cart,433,"139  Tremont St,Boston, MA 02116,","Food Stands,",4,$ ,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,2203714000,25025000301,7,128.1428571,128,3.851727982,0.571428571,0.285714286,0,0,0.142857143,5,5,13,5,4,5,11,5,5,2,3,8,3,6,6,2,FALSE
Fiorella's Express,1191,"2 Tremont St,Brighton, MA 02135,","Italian,Pizza,Sandwiches,",4,$$ ,206,206,2,3,2,2,0,3,3,1,0,0,0,0,0,0,2,1,Brighton,2203771000,25025000301,7,128.1428571,128,3.851727982,0.571428571,0.285714286,0,0,0.142857143,5,5,13,5,4,5,11,5,5,2,3,8,3,6,6,2,FALSE
Greenhouse Kitchen Italian Restaurant,1383,"435 Faneuil St,Brighton, MA 02135,","Pizza,Italian,Burgers,",4,$ ,109,109,1,0,4,1,1,1,6,1,1,1,0,3,1,3,3,0,Brighton,2203359000,25025000301,7,128.1428571,128,3.851727982,0.571428571,0.285714286,0,0,0.142857143,5,5,13,5,4,5,11,5,5,2,3,8,3,6,6,2,FALSE
Meezzy,1984,"653 Oneill Trl,Boston, MA 02135,","Restaurants,",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2203379000,25025000301,7,128.1428571,128,3.851727982,0.571428571,0.285714286,0,0,0.142857143,5,5,13,5,4,5,11,5,5,2,3,8,3,6,6,2,FALSE
New Hong Kong,2141,"14 Tremont St,Brighton, MA 02135,","Chinese,",3,$ ,133,133,0,1,2,1,0,0,0,1,1,1,0,3,0,2,1,0,Brighton,2203771000,25025000301,7,128.1428571,128,3.851727982,0.571428571,0.285714286,0,0,0.142857143,5,5,13,5,4,5,11,5,5,2,3,8,3,6,6,2,FALSE
Pizza Etc,2435,"429 Faneuil St,Brighton, MA 02135,","Pizza,Sandwiches,Salad,",4,$ ,184,183,2,0,1,0,2,0,1,0,0,0,0,1,1,1,0,1,Brighton,2203359000,25025000301,7,128.1428571,128,3.851727982,0.571428571,0.285714286,0,0,0.142857143,5,5,13,5,4,5,11,5,5,2,3,8,3,6,6,2,FALSE
Thai North Restaurant,3149,"433 Faneuil St,Brighton, MA 02135,","Thai,",4,$$ ,257,257,0,1,4,1,1,1,1,2,3,0,3,1,1,0,0,0,Brighton,2203359000,25025000301,7,128.1428571,128,3.851727982,0.571428571,0.285714286,0,0,0.142857143,5,5,13,5,4,5,11,5,5,2,3,8,3,6,6,2,FALSE
